City,Date,PM2.5,PM10,NO2,CO,O3,SO2,AQI,AQI_Bucket
Ahmedabad,2019-05-15,37.55,122.41,85.12,15.08,48.23,163.01,281.0,Poor
Ahmedabad,2019-05-16,33.97,116.32,79.71,14.67,51.86,91.26,330.0,Very Poor
Ahmedabad,2019-05-17,35.48,130.07,77.61,18.02,38.99,98.35,356.0,Very Poor
Ahmedabad,2019-05-18,34.11,138.31,75.23,13.27,42.22,88.66,359.0,Very Poor
Ahmedabad,2019-05-19,33.69,111.73,68.9,34.56,36.95,80.9,500.0,Severe
Ahmedabad,2019-05-20,42.31,118.65,81.84,17.47,46.68,89.57,500.0,Severe
Ahmedabad,2019-05-21,24.6,103.88,81.24,11.03,46.65,80.74,321.0,Very Poor
Ahmedabad,2019-05-22,27.93,103.3,76.75,11.44,54.34,86.48,270.0,Poor
Ahmedabad,2019-05-23,41.39,135.65,89.1,14.29,49.7,105.96,323.0,Very Poor
Ahmedabad,2019-05-24,46.79,148.0,93.27,14.31,56.31,131.04,344.0,Very Poor
Ahmedabad,2019-05-25,51.63,156.97,89.18,17.96,49.62,134.22,404.0,Severe
Ahmedabad,2019-05-26,63.15,177.87,100.08,28.03,50.32,122.43,500.0,Severe
Ahmedabad,2019-05-27,57.47,163.36,112.68,21.39,52.19,143.3,435.0,Severe
Ahmedabad,2019-05-28,50.27,156.63,103.05,21.02,49.86,118.55,440.0,Severe
Ahmedabad,2019-05-29,42.02,140.66,71.51,16.43,52.44,82.75,374.0,Very Poor
Ahmedabad,2019-05-30,48.74,153.69,91.02,19.89,52.86,138.12,500.0,Severe
Ahmedabad,2019-05-31,46.51,136.34,85.37,16.75,44.53,145.55,360.0,Very Poor
Ahmedabad,2019-06-01,48.1,142.06,70.71,23.83,40.22,142.52,467.0,Severe
Ahmedabad,2019-06-02,41.38,119.91,70.35,21.8,41.5,134.76,402.0,Severe
Ahmedabad,2019-06-03,46.46,134.2,74.31,22.33,47.63,137.83,419.0,Severe
Ahmedabad,2019-06-04,39.68,117.51,77.12,20.89,71.62,139.31,408.0,Severe
Ahmedabad,2019-06-05,38.27,113.84,61.74,18.87,82.73,112.15,402.0,Severe
Ahmedabad,2019-06-06,35.06,127.56,68.94,12.63,75.71,101.14,303.0,Very Poor
Ahmedabad,2019-06-07,30.07,124.01,122.88,15.49,70.29,31.67,354.0,Very Poor
Ahmedabad,2019-06-08,48.74,135.9,154.42,16.38,73.95,58.6,358.0,Very Poor
Ahmedabad,2019-06-09,35.3,120.77,146.65,15.2,81.55,127.62,324.0,Very Poor
Ahmedabad,2019-06-10,34.31,115.46,127.02,16.31,80.39,121.46,360.0,Very Poor
Ahmedabad,2019-06-11,33.97,107.59,135.26,15.38,90.29,100.23,348.0,Very Poor
Ahmedabad,2019-06-12,41.08,156.33,140.5,12.8,85.2,91.23,333.0,Very Poor
Ahmedabad,2019-06-13,25.56,77.07,120.8,13.75,88.79,58.37,321.0,Very Poor
Ahmedabad,2019-06-14,26.75,103.12,112.66,14.4,77.88,60.94,338.0,Very Poor
Ahmedabad,2019-06-15,32.71,96.84,116.69,18.89,53.57,48.67,369.0,Very Poor
Ahmedabad,2019-06-16,32.79,107.15,103.69,25.17,30.45,30.37,397.0,Very Poor
Ahmedabad,2019-06-17,28.02,104.64,115.78,25.92,21.04,42.55,414.0,Severe
Ahmedabad,2019-06-18,26.92,72.7,130.64,22.25,24.37,25.9,363.0,Very Poor
Ahmedabad,2019-06-19,69.38,171.87,145.75,19.2,7.21,37.85,371.0,Very Poor
Ahmedabad,2019-06-20,42.08,125.62,155.72,30.2,41.97,33.25,500.0,Severe
Ahmedabad,2019-06-21,35.67,103.64,147.44,18.86,74.84,25.28,348.0,Very Poor
Ahmedabad,2019-06-22,63.09,152.67,163.54,12.65,113.94,26.31,184.0,Moderate
Ahmedabad,2019-06-23,46.13,102.66,146.55,14.35,108.07,39.92,328.0,Very Poor
Ahmedabad,2019-06-24,57.49,115.42,277.31,21.05,101.47,37.43,440.0,Severe
Ahmedabad,2019-06-25,49.23,97.91,174.15,19.38,90.33,20.97,411.0,Severe
Ahmedabad,2019-06-26,70.03,136.54,213.58,24.95,52.14,28.94,469.0,Severe
Ahmedabad,2019-06-27,60.03,109.4,176.24,25.55,52.95,35.87,436.0,Severe
Ahmedabad,2019-06-28,49.43,102.77,164.64,29.88,31.31,44.06,500.0,Severe
Ahmedabad,2019-06-29,59.63,112.5,184.07,41.59,21.31,38.49,500.0,Severe
Ahmedabad,2019-06-30,53.13,117.3,107.86,29.06,43.43,30.43,465.0,Severe
Ahmedabad,2019-07-01,43.22,104.74,168.15,28.45,69.91,40.42,486.0,Severe
Ahmedabad,2019-07-02,44.75,114.84,119.51,24.72,58.82,48.21,446.0,Severe
Ahmedabad,2019-07-03,44.27,96.61,118.73,24.13,49.16,47.13,426.0,Severe
Ahmedabad,2019-07-04,47.77,102.68,144.03,39.11,21.77,44.8,500.0,Severe
Ahmedabad,2019-07-05,47.88,116.88,106.12,37.12,23.22,35.22,500.0,Severe
